# harvest data for the sample database.
#
# Harvest logs from FarmData for Jan 1, 2019 to July 15, 2020.
# The fields are:
#  0: "id"
#  1: "username"
#  2: "gen"
#  3: "hardate"
#  4: "fieldID"
#  5: "crop"
#  6: "yield"
#  7: "unit"
#  8: "hours"
#  9: "comments"
# 10: blank
#
# Notes:
#  - There are a few harvests in this file for STRAWBERRIES, ASPARAGUS
#    and ROSEMARY that do not have matching plantings in the Jan 1, 2019 - 
#    July 15, 2020 time frame.  Their earlier plantings were added to the 
#    directSeedings.csv file.
#  - Harvests for KALE from area K in 2019 that appear in this file
#    are remapped by addHarvests.py to one of ["CHUAU-4","T", "O", "J", "Z", "W", "ALF-4"]
#    because there is no record of KALE in area K at that time.
#  - Harvests for BRUSSEL SPROUTS in area K in 2019 that appear in this 
#    file are remapped by addHarvests.py to J becasue there is no record
#    of BRUSSLE SPROUTS in J at that time.

"9449","horowitk","1","2019-05-28","CHUAU-4","KALE","4.16667","BUNCH","0.0166667","",
"9450","horowitk","1","2019-05-29","SQ10","STRAWBERRY","22.5","QUART","0.0166667","From Alf 4",
"9451","halpinj","1","2019-05-30","GHANA-1","HERB - CILANTRO","15","BUNCH","0.02","",
"9452","halpinj","1","2019-05-30","GHANA-3","HERB - DILL","8","BUNCH","0.0166667","",
"9453","halpinj","1","2019-05-30","T","ENDIVE","0.5","POUND","0.0166667","",
"9454","halpinj","1","2019-05-30","CHUAU-1","TURNIP","21","BUNCH","0.0166667","",
"9455","hutchinl","1","2019-05-30","CHUAU-3","CARROT","23","BUNCH","0.0166667","",
"9456","halpinj","1","2019-05-30","CHUAU-4","LETTUCE, RED","2","HEAD","0.02","",
"9457","hutchinl","1","2019-05-30","CHUAU-4","CHARD","6","BUNCH","0.0166667","Mixed greens",
"9458","halpinj","1","2019-05-30","JASMINE-1","LETTUCE, ROMAINE","9.375","POUND","0.02","",
"9459","hutchinl","1","2019-05-30","CHUAU-4","COLLARDS","26","BUNCH","0.0166667","",
"9460","halpinj","1","2019-05-30","JASMINE-3","LETTUCE, MES MIX","6.5","POUND","0.0166667","",
"9461","hutchinl","1","2019-05-30","JASMINE-4","SPINACH","7","POUND","0.0166667","",
"9462","halpinj","1","2019-05-30","JASMINE-3","LETTUCE, MES MIX","2","POUND","0.0166667","",
"9463","hutchinl","1","2019-05-30","CHUAU-2","SCALLION","46","BUNCH","0.0166667","Chuau - 3",
"9464","hutchinl","1","2019-05-30","JASMINE-3","RADISH","8","BUNCH","0.0166667","",
"9465","horowitk","1","2019-05-30","T","SPINACH","61","POUND","0.0166667","",
"9466","horowitk","1","2019-05-31","GHANA-4","SPINACH","2","POUND","0.0166667","",
"9467","horowitk","1","2019-05-31","SQ10","STRAWBERRY","16.5","QUART","0.0166667","From Alf 4",
"9468","hutchinl","1","2019-06-03","O","BOKCHOY","20","HEAD","0.0166667","",
"9469","hutchinl","1","2019-06-03","CHUAU-3","CARROT","40","BUNCH","0.0166667","",
"9470","hutchinl","1","2019-06-03","CHUAU-4","CHARD","27","BUNCH","0.0166667","",
"9471","hutchinl","1","2019-06-03","CHUAU-4","COLLARDS","25","BUNCH","0.0166667","",
"9472","hutchinl","1","2019-06-03","O","DANDILION","5","BUNCH","0.02","",
"9473","hutchinl","1","2019-06-03","T","ENDIVE","4","POUND","0.0166667","",
"9474","hutchinl","1","2019-06-03","GHANA-1","HERB - CILANTRO","15","BUNCH","0.02","",
"9475","hutchinl","1","2019-06-03","GHANA-3","HERB - DILL","10","BUNCH","0.0166667","",
"9476","hutchinl","1","2019-06-03","CHUAU-4","KALE","35","BUNCH","0.0166667","",
"9477","hutchinl","1","2019-06-03","P","LETTUCE, GREEN","20","HEAD","0.0166667","",
"9478","hutchinl","1","2019-06-03","JASMINE-5","LETTUCE, MES MIX","21","POUND","0.0166667","",
"9479","hutchinl","1","2019-06-03","O","LETTUCE, RED","20","HEAD","0.0166667","",
"9480","hutchinl","1","2019-06-03","JASMINE-1","LETTUCE, ROMAINE","31.25","POUND","0.02","",
"9481","hutchinl","1","2019-06-03","JASMINE-3","RADISH","35","BUNCH","0.0166667","",
"9482","hutchinl","1","2019-06-03","CHUAU-2","SCALLION","40","BUNCH","0.0166667","",
"9483","hutchinl","1","2019-06-03","GHANA-4","SPINACH","15","POUND","0.0166667","",
"9484","hutchinl","1","2019-06-03","JASMINE-4","SPINACH","5","POUND","0.0166667","",
"9485","hutchinl","1","2019-06-03","CHUAU-1","TURNIP","35","BUNCH","0.0166667","",
"9486","hutchinl","1","2019-06-03","SQ10","STRAWBERRY","17","QUART","0.0166667","",
"9487","horowitk","1","2019-06-05","CHUAU-4","KALE","54","BUNCH","0.0166667","For DH",
