# Direct seeding data for the sample database.
#
# Direct seeding logs from FarmData for Jan 1, 2019 to July 15, 2020.
# The fields are:
# 0  "id"
# 1  "plantdate"
# 2  "crop"
# 3  "fieldID"
# 4  "bedft"
# 5  "rowsBed"
# 6  "rowft"
# 7  "beds"
# 8  "hours"
# 9  "comments"
# 10 "gen"
# 11 "username"
# 12 "annual"
# 13 "lastHarvest"
# 14 blank due to trailing comma
#
# Notes:
#  - records with multiple seed codes in the comments field will be split into
#    multiple seeding logs asspciated with the same planting.
#  - Added record 1033 for asparagus seeding from 2017 so it can be associated with 
#    its harvest logs in 2019. 
#  - Added record 1091 for rosemary seeding in TEACHING bed so that it can be associated
#    with its harvest in 2019.
#  - Added record 1130 for strawberry seeding from 2017 so it can be associatd with
#    the harvets logs in 2019.


"1033","2017-04-18","ASPARAGUS","M","1","1","1","0.007692307692307693","0.0166667","Seed Code: N/A (No Variety) - 1.0 bed feet","1","steimanm","0","2025-12-31",
"1091","2017-01-01","HERB-ROSEMARY","TEACHING","5","1","5","0.05","0.0166667","Seed Code: N/A (No Variety) - 5.0 bed feet","1","baurc","0","2019-12-31",
"1130","2017-08-25","STRAWBERRY","SQ10","960","2","1920","3.2","0.0166667","Seed Code: N/A (No Variety) - 960.0 bed feet","1","baurc","0","2019-12-31",

"1368","2019-01-01","GARLIC","ALF 4","6300","3","18900","18","0.0166667","6 BEDS IN A4;Seed Code: N/A (No Variety) - 6300.0 bed feet","1","wolfje","1","2019-12-31",
"1369","2019-01-01","GARLIC","ALF 2","2100","3","6300","6","0.0166667"," 2BEDS IN A2;Seed Code: N/A (No Variety) - 2100.0 bed feet","1","wolfje","1","2019-12-31",
"1266","2019-02-04","RADISH","CHUAU-2","35","3","105","0.3977272727272727","0.0166667","Seed Code: RH-19-1-UT (NELSON) - 35.0 bed feet","1","halpinj","1","2019-12-31",
"1267","2019-02-13","ARUGULA","A","100","1","100","0.23529411764705882","0.0166667","test;Seed Code: N/A (No Variety) - 100.0 bed feet","1","steimanm","1","2019-12-31",
"1269","2019-02-13","CARROT","CHUAU-3","84","4","336","1","1","Seed Code: CT-19-1-OG (YAYA) - 84.0 bed feet","1","nelsonw","1","2019-12-31",
"1270","2019-02-13","CARROT","CHUAU-3","84","4","336","1","1","Seed Code: CT-19-1-OG (YAYA) - 84.0 bed feet","1","nelsonw","1","2019-12-31",
"1268","2019-02-21","ARUGULA","1-PASTURE","100","1","100","1","0.0166667","Test;Seed Code: N/A (No Variety) - 100.0 bed feet","1","steimanm","1","2019-12-31",
"1405","2019-03-25","HERB - CILANTRO","GHANA-1","15","3","45","0.15625","0.116667","Seed Code: HO-16-1-OG (DCF CILANTRO) - 50.0 bed feet","1","ryanv","1","2019-12-31",
"1407","2019-03-25","LETTUCE, MES MIX","GHANA-3","88","3","264","1","0.0166667","Seed Code: LX-18-2-OG (RED SALAD BOWL) - 88.0 bed feet","1","ryanv","1","2019-12-31",
"1408","2019-03-25","SPINACH","GHANA-2","86","3","258","0.9772727272727273","0.0166667","Seed Code: SH-19-3-UT (SPACE) - 86.0 bed feet","1","ryanv","1","2019-12-31",
"1409","2019-03-25","ONION SPRING","CHUAU-2","10","9","90","0.11363636363636363","0.0166667","Seed Code: OG-19-1-OG (RED LONG OF TROPEA) - 10.0 bed feet","1","ryanv","1","2019-12-31",
"1406","2019-04-01","RADISH","GHANA-2","100","5","500","1.1363636363636365","0.0166667","Seed Code: RH-19-2-UT (NERO TONDO) - 100.0 bed feet","1","ryanv","1","2019-12-31",
"1271","2019-04-03","PEA, SNAP","T","200","2","400","1.2820512820512822","1","Seed Code: PP-18-1-UT (SUPER SUGAR SNAP) - 100.0 bed feet;Seed Code: PP-19-1-UT (SUPER SUGAR SNAP) - 100.0 bed feet","1","nelsonw","1","2019-12-31",
"1272","2019-04-04","BEET","T","125","3","375","0.8012820512820513","0.333333","Seed Code: BT-18-2-OG (EARLY WONDER) - 90.0 bed feet;Seed Code: BT-19-3-OG (EARLY WONDER) - 35.0 bed feet","1","nelsonw","1","2019-12-31",
"1273","2019-04-04","CARROT","T","263","3","789","1.685897435897436","0.416667","Seed Code: CT-19-1-OG (YAYA) - 263.0 bed feet","1","nelsonw","1","2019-12-31",
"1274","2019-04-12","LETTUCE, MES MIX","T","100","3","300","0.6410256410256411","0.25","Mixed Varieties ;Seed Code: LX-18-2-OG (RED SALAD BOWL) - 50.0 bed feet;Seed Code: LX-18-3-UT (TANGO) - 50.0 bed feet","1","nelsonw","1","2019-12-31",
"1275","2019-04-12","SPINACH","T","115","3","345","0.7371794871794872","0.25","Seed Code: SH-19-3-UT (SPACE) - 115.0 bed feet","1","nelsonw","1","2019-12-31",
"1276","2019-04-12","TURNIP","T","50","3","150","0.32051282051282054","0.0833333","Seed Code: TP-18-2-UT (HAKUREI) - 50.0 bed feet","1","nelsonw","1","2019-12-31",
