Done,Date,Log name,Asset IDs,Asset names,Areas,Notes,Categories,Quantity measure,Quantity value,Quantity unit,Quantity label,Lot number
,2018-07-02,,,Lettuce: Mes Mix,SQ 7,,,,55,Pounds,,
,2018-07-02,,,Mint,HERB,,,,10,Bunches,,
,2018-07-02,,,Onions: Spring,JASMINE-4,,,,31.4286,Bunches,,
,2018-07-02,,,Oregano,HERB,,,,15,Bunches,,
,2018-07-02,,,Peas: Snap,SQ 7,,,,54.5,Pounds,,
,2018-07-02,,,Spinach,SQ 7,,,,16,Pounds,,
,2018-07-02,,,Thyme,HERB,,,,10,Bunches,,
,2018-07-05,,,Mint,HERB,,,,10,Bunches,,
,2018-07-05,,,Onions: Spring,SQ 7,,,,10.8571,Bunches,,
,2018-07-05,,,Onions: Spring,JASMINE-4,,,,24.2857,Bunches,,
,2018-07-05,,,Oregano,HERB,,,,10,Bunches,,
,2018-07-05,,,Thyme,HERB,,,,10,Bunches,,
,2018-07-09,,,Cabbage,S,,,,111,Head,,
,2018-07-09,,,Chard,S,,,,8.33333,Bunches,,
,2018-07-09,,,Chinese Cabbage,S,,,,11,Head,,
,2018-07-09,,,Endive,SQ 7,,,,3.5,Pounds,,
,2018-07-09,,,Kale,S,,,,10.8333,Bunches,,
,2018-07-09,,,Kale,S,,,,10,Bunches,,
,2018-07-09,,,Lettuce: Mes Mix,SQ 7,,,,27,Pounds,,
,2018-07-09,,,Peas: Snap,SQ 7,,,,16.5,Pounds,,
,2018-07-09,,,Radicchio,SQ 7,,,,7,Pounds,,
,2018-07-12,,,Basil,JASMINE-1,,,,20,Bunches,,
,2018-07-12,,,Chard,S,,,,40,Bunches,,
,2018-07-12,,,Kale,GHANA-3,,,,54.6667,Bunches,,
,2018-07-12,,,Kale,S,,,,6.66667,Bunches,,
,2018-07-12,,,Oregano,HERB,,,,10,Bunches,,
,2018-07-12,,,Parsley,RSCH,,,,10,Bunches,,
,2018-07-12,,,Thyme,HERB,,,,10,Bunches,,
,2018-07-16,,,Beets,SQ 7,,,,11,Bunches,,
,2018-07-16,,,Beets,SQ 7,,,,35,Bunches,,
,2018-07-16,,,Cabbage,S,,,,134,Head,,
,2018-07-16,,,Chard,S,,,,5,Bunches,,
,2018-07-16,,,Chard,S,,,,11.6667,Bunches,,
,2018-07-16,,,Chinese Cabbage,S,,,,2,Head,,
,2018-07-16,,,Lettuce,P,,,,60,Head,,
,2018-07-16,,,Onions: Spring,SQ 7,,,,10,Bunches,,
,2018-07-18,,,Cucumbers,O,,,,10.5,Pounds,,
,2018-07-18,,,Cucumbers,SQ 9,,,,109,Pounds,,
,2018-07-18,,,Squash: Summer,U,,,,7,Pounds,,
,2018-07-18,,,Squash: Summer,SQ 9,,,,4.75,Pounds,,
,2018-07-18,,,Zucchini,U,,,,3,Pounds,,
,2018-07-18,,,Zucchini,SQ 9,,,,8.75,Pounds,,
,2018-07-19,,,Beans,SQ 8,,,,15.5,Pounds,,
,2018-07-19,,,Cabbage,S,,,,108,Head,,
,2018-07-19,,,Cucumbers,O,,,,11,Pounds,,
,2018-07-19,,,Cucumbers,SQ 9,,,,47.5,Pounds,,
,2018-07-19,,,Kale,S,,,,24.6667,Bunches,,
,2018-07-19,,,Lettuce,P,,,,49,Head,,
,2018-07-19,,,Lettuce: Mes Mix,SQ 7,,,,45,Pounds,,
,2018-07-19,,,Squash: Summer,U,,,,6.75,Pounds,,
