"Done","Date","Log name","Asset IDs","Asset names","Areas","Notes","Categories","Quantity measure","Quantity value","Quantity unit","Quantity label","Lot number"
,"2018-04-02",,,"Spinach","JASMINE-4",,,,8,"Pounds",,
,"2018-04-03",,,"Spinach","JASMINE-4",,,,20,"Pounds",,
,"2018-04-23",,,"Spinach","GHANA-2",,,,4,"Pounds",,
,"2018-04-24",,,"Lettuce: Mes Mix","JASMINE-5",,,,32,"Pounds",,
,"2018-04-24",,,"Spinach","JASMINE-4",,,,20,"Pounds",,
,"2018-05-04",,,"Spinach","Q",,,,20,"Pounds",,
,"2018-05-07",,,"Spinach","ALF 1",,,,20,"Pounds",,
,"2018-05-08",,,"Spinach","Q",,,,20,"Pounds",,
,"2018-05-08",,,"Spinach","Q",,,,20,"Pounds",,
