"Name","Archived","Description","Parent IDs","Parent names"
"FEED",,,,
"BEDDING",,,,
"CATTLE",,,,
"COVER CROP",,,,
"CROPS: FORAGEABLE",,,,
"DAIRY",,,,
"FERTILIZER: DRY",,,,
"FERTILIZER: LIQUID",,,,
"FRUIT",,,,
"FUEL",,,,
"HERBS",,,,
"LAYING HENS",,,,
"SEED",,,,
"SHEEP",,,,
"VEGETABLES",,,,
"OTHER FOOD SALES",,,,
