Name,Archived,Description,Parent IDs,Parent names
CITRIC ACID,,,,
DIPEL DF,,,,
DOUBLE NICKEL LC,,,,
ENTRUST,,,,
GRANDEVO,,,,
MAGNA-BON 48HR REI,,,,
NUFILM P,,,,
ORGANIC GEM 343,,,,
OXIDATE,,,,
PYGANIC,,,,
REGALIA,,,,
STARGUS,,,,
STIMPLEX,,,,
VENERATE,,,,
