"Name","Archived","Description","Parent IDs","Parent names","Crop/variety","Season"
"Cantaloupes",,,,"FRUIT","Cantaloupes",
"Honeydew Melons",,,,"FRUIT","Honeydew Melons",
"Strawberries",,,,"FRUIT","Strawberries",
"Watermelons",,,,"FRUIT","Watermelons",
