"Done","Date","Log name","Asset IDs","Asset names","Areas","Notes","Categories","Invoice number","Lot number","Quantity","Units","Unit price","Total price","Seller"
"yes","01/07/18",,,"BEDDING: STRAW",,,"BEDDING",,,10,"SMALL SQUARE BALE",,40,"BRIAN STEIGELMAN"
"yes","02/03/18",,,"BEDDING: STRAW",,,"BEDDING",,,85,"SMALL SQUARE BALE",,248.2,"SHIPPENSBURG AUCTION"
"yes","03/02/18",,,"BEDDING: STRAW",,,"BEDDING",,,80,"SMALL SQUARE BALE",,208.8,"SHIPPENSBURG AUCTION"
"yes","11/15/18",,,"BEDDING: STRAW",,,"BEDDING",,,81,"SMALL SQUARE BALE",,324,"RANDY DEITCH"
