"Done","Date","Log name","Asset IDs","Asset names","Archive assets","Areas","Notes","Categories","Invoice number","Lot number","Quantity","Units","Unit price","Total price","Seller"
"yes","2018-02-01",,,"Lettuce: Red",,,"Cherokee","Seed","2741JP","1Msd","1","Ounces","15.5","15.5",
"yes","2018-02-01",,,"Lettuce: Romaine",,,"Sparx","Seed","3156","1Msd","1","Ounces","6.35","6.34999990463257",
"no","2018-02-01",,,"Watermelons",,,"Dark Belle","Seed","3766",".24 OZ","1","Ounces","21.651","21.6509990692139",
"yes","2018-02-01",,,"Watermelons",,,"Little Baby Flower","Seed","2495",".25OZ","1","Ounces","29.9","29.8999996185303",
"no","2018-02-01",,,"Peppers: Bell",,,"Aura","Seed","3924G","1 PKT","1","Grams","5.25","5.25",
"no","2018-02-01",,,"Peppers: Bell",,,"Biscayne","Seed","568","1 pkt","1","Grams","4.25","4.25",
"no","2018-02-01",,,"Peppers: Bell",,,"Carmen","Seed","2993g","1 pkt","1","Grams","5.25","5.25",
"no","2018-02-01",,,"Peppers: Bell",,,"Escamillo","Seed","3125G","1 PKT","1","Grams","5.25","5.25",
"no","2018-02-01",,,"Peppers: Bell",,,"Flavorburst","Seed","54","1 PKT","1","Grams","4.25","4.25",
"no","2018-02-01",,,"Peppers: Bell",,,"Glow","Seed","3923G","1 PKT","1","Grams","5.25","5.25",
"no","2018-02-01",,,"Peppers: Bell",,,"Gourment","Seed","2648","1 pkt","1","Grams","4.25","4.25",
"yes","2018-02-01",,,"Peppers: Bell",,,"Intruder","Seed","3921","500Sds","1","Grams","44.9","44.9000015258789",
"no","2018-02-01",,,"Peppers: Bell",,,"Lipstick","Seed","2342","1 PKT","1","Grams","5.25","5.25",
"no","2018-02-01",,,"Peppers: Bell",,,"Olympus","Seed","2244","500 sd","1","Grams","34.5","34.5",
"no","2018-02-01",,,"Peppers: Bell",,,"X3r Red Knight","Seed","2309","250 SDS","1","Grams","24.8","24.7999992370605",
"no","2018-02-01",,,"Peppers: Hot",,,"El Eden","Seed","3392","1 PKT","1","Grams","4.25","4.25",
"yes","2018-02-01",,,"Peppers: Hot",,,"Red Ember","Seed","3130G","1 PKT","1","Grams","4.45","4.44999980926514",
"yes","2018-02-01",,,"Radicchio",,,"Indigo","Seed","2245","1Msds","1","Ounces","32.35","32.3499984741211",
"yes","2018-02-01",,,"Radishes ",,,"Nero Tondo","Seed","616",".25 LB","1","Pounds","23.7","23.7000007629395",
"no","2018-02-01",,,"Radishes ",,,"Pink Beauty","Seed","626G",".25 LB","1","Pounds","13.85","13.8500003814697",
"yes","2018-02-01",,,"Radishes ",,,"Rudolf","Seed","2873A","5 MSD","1","Pounds","9.85","9.85000038146973",
"yes","2018-02-01",,,"Radishes ",,,"Watermelon","Seed","2847","1 Msd","1","Pounds","11.3","11.3000001907349",
"yes","2018-02-01",,,"Radishes: Daikon",,,"Mini Mak","Seed","3344","1 OZ","1","Ounces","15.17","15.1700000762939",
"yes","2018-02-01",,,"Scallions",,,"White Spear","Seed","503",".25 LB","1","Ounces","18.5","18.5",
"yes","2018-02-02",,,"Spinach",,,"Gazelle","Seed","2550x","1Msds","100","Ounces","0.59","58.9999973773956",
"yes","2018-02-02",,,"Spinach",,,"Space","Seed","644","1Msds","100","Ounces","0.59","58.9999973773956",
"yes","2018-02-02",,,"Squash: Butternut",,,"Metro","Seed","2867","1 oz","1","Pounds","15.25","15.25",
"yes","2018-02-02",,,"Squash: Winter",,,"Delicata","Seed","2951A",".5oz","1","Pounds","7","7",
"yes","2018-02-02",,,"Squash: Winter",,,"Tip Top Acorn","Seed","2269",".5","1","Pounds","6.5","6.5",
"no","2018-02-02",,,"Summer Squash",,,"Gold Star","Seed","3227","250 SDS","1","Ounces","13.45","13.4499998092651",
"yes","2018-02-02",,,"Summer Squash",,,"Slick Pik","Seed","640","250 SDS","1","Ounces","13.45","13.4499998092651",
"yes","2018-02-02",,,"Tomatoes: Cherry",,,"Sun Gold","Seed","770","100 sd","1","Grams","9.25","9.25",
"yes","2018-02-02",,,"Tomatoes: Cherry",,,"Valentine","Seed","3371G","100 SDS","1","Grams","28.2","28.2000007629395",
"no","2018-02-05",,,"Tomatoes: Slicing",,,"Bhn1021","Seed","2591","100 sds","1","Grams","35.8","35.7999992370605",
"no","2018-02-05",,,"Tomatoes: Slicing",,,"Big Beef","Seed","2063","250 sds","1","Grams","12.4","12.3999996185303",
"no","2018-02-05",,,"Tomatoes: Slicing",,,"Defiant","Seed","2525g","100 Sds","1","Grams","30.25","30.25",
"no","2018-02-05",,,"Tomatoes: Slicing",,,"Estiva","Seed","2087","250SD","1","Grams","22.7","22.7000007629395",
"yes","2018-02-05",,,"Tomatoes: Slicing",,,"Mtn Merit","Seed","3080","250 SDS","1","Grams","29.85","29.8500003814697",
"no","2018-02-05",,,"Tomatoes: Slicing",,,"Red Duce","Seed","1212","100 sds","1","Grams","12.55","12.5500001907349",
"yes","2018-02-02",,,"Turnips",,,"Hakurei","Seed","706","1 OZ","1","Pounds","23.2","23.2000007629395",
"yes","2018-02-02",,,"Turnips",,,"Purple Top","Seed","705G",".25 LB","1","Pounds","7.35","7.34999990463257",
"yes","2018-02-02",,,"Zucchini",,,"Dunja F1","Seed","3843G","250 SEED","1","Ounces","26.35","26.3500003814697",
"yes","2018-02-02",,,"Zucchini",,,"Spineless Perfection","Seed","3854","250 SDS","1","Ounces","21.45","21.4500007629395",
"no","N/A",,,"Bokchoy",,,"Mei Qing","Seed","BACKUP",,,,,,
"no","N/A",,,"Broccoli",,,"Arcadia","Seed","BACKUP",,,,,,
"no","N/A",,,"Broccoli",,,"Imperial","Seed","BACKUP",,,,,,
"no","N/A",,,"Brussel Sprouts",,,"Diablo","Seed","BACKUP",,,,,,
"no","N/A",,,"Cabbage",,,"Kaitlin","Seed","BACKUP",,,,,,
"no","N/A",,,"Cabbage",,,"Storage #4","Seed","BACKUP",,,,,,
"no","N/A",,,"Carrots",,,"Bolero","Seed","BACKUP",,,,,,
